;column 1: width of the square integration aperture in masec
;column 2,3,4: ensquared energy % L,M,N-band
5.0000000     0.062456673     0.033509755     0.012060011
10.000000      0.21788149      0.12500257     0.047097352
15.000000      0.39309437      0.25077863      0.10183637
20.000000      0.52272436      0.38117655      0.17130146
25.000000      0.58556053      0.49075717      0.24946225
30.000000      0.60400598      0.56576053      0.32999066
35.000000      0.61530154      0.60620379      0.40701530
40.000000      0.64255755      0.62260646      0.47576417
45.000000      0.68577516      0.62961045      0.53301029
50.000000      0.73159241      0.63965695      0.57727103
55.000000      0.76741958      0.65918883      0.60875441
60.000000      0.78866467      0.68819701      0.62908558
65.000000      0.79788601      0.72231183      0.64087788
70.000000      0.80058199      0.75581672      0.64723003
75.000000      0.80160740      0.78410595      0.65123312
80.000000      0.80346031      0.80486099      0.65555837
85.000000      0.80633728      0.81801828      0.66217413
90.000000      0.80944282      0.82504486      0.67221274
95.000000      0.81245998      0.82805925      0.68598074
100.00000      0.81594993      0.82911846      0.70308430
