#Transmission profile for a 4 mm ZnSe window. Read off the graph provided by Crystran

#l (um)		thick=4mm	thick=12mm
2.5		0.72		0.72
3.		0.72		0.72
3.5		0.72		0.72
4.		0.72		0.72	
4.5		0.72		0.72
5.		0.72		0.72
5.5		0.72		0.72
6.		0.72		0.72
6.5		0.72		0.72
7.		0.72		0.72
7.5		0.72		0.72
8.		0.72		0.72
8.5		0.72		0.72
9.		0.72		0.72
9.5		0.72		0.72
10.		0.72		0.72
10.5		0.72		0.72
11.		0.72		0.72
11.5		0.72		0.72
12.		0.72		0.72
12.5		0.72		0.72
13.		0.72		0.72
13.5		0.72		0.72
14.		0.71		0.70
14.5		0.705		0.67
15.		0.68		0.62
15.5		0.66		0.55
16.		0.62		0.43	
16.5		0.61		0.35
17.		0.60		0.18
17.5		0.57		0.27
18.		0.58		0.33
18.5		0.56		0.30
19.		0.50		0.20
19.5		0.40		0.08
20.		0.25		0.03


